movieId,actorId,character
3888,625424,Capt. Balfour
3888,63634,
3888,281808,Minor Role
3889,251456,
3890,187981,Bull McGee
3890,877548,Jim Joyce
3890,366008,Larry Joyce
3893,515250,Jack Livingston
3893,176699,Walter Gordon
3897,198410,Detective Craig Kennedy
3897,354878,Walter Jameson (Ep. 1 2 3 6)
3897,654440,Walter Jameson (Ep. 4-14)
3929,624752,The Princess Father
3929,163906,Prince Arthur
3929,137416,
3929,749381,Hagreth
3929,775421,Sinfin
3929,264647,The Goat
3930,622772,FantômasLe père MocheLe détective Tom Bob
3930,577476,Jérôme Fandor journaliste
3930,605849,Lapache Paulet
3935,560785,Raoul de Tornay
3938,113224,Frank Goodheart
3938,529368,Sir Simon Blackheart
3938,768283,The Rajah
3938,828421,High Priest
3951,100479,Kobus Drost
3951,863812,Arend
3951,886151,Kees Nieman
3951,203191,DanspartnerDance partner
3952,551792,Ribonard
3952,622772,FantômasLe juge dinstruction Pradier
3952,107631,Inspector Juve
3952,577476,Jérôme Fandor journaliste
3952,1266519,Le marquis de Tergall
3952,605849,Lapache Paulet
3957,292407,
3957,642190,
3957,505354,Ivan
3960,324776,BallonvaarderBalloon Pilot
3960,367858,Le meunier
3960,336380,Jonge JefkeYoung Jefke
3960,723742,Léopold Boolmans
3965,568591,The Reporter
3967,523932,Moritz AbramowskiSiegmund Lachmann (Lehrling)
3967,36662,Hoflieferant Manfred Mayer
3967,667152,Reisender Siegmund Philippsohn
3973,237713,Dr. Fred Cassadene
3973,448682,Maj. Horton
3977,528118,Antonio Bordiga
3987,286788,John Diamond
3987,123579,Willard Graham
3987,521009,Denver Dan
3987,227919,Frank Popham
3988,254671,Nat Duncan
3988,817956,Harry Kellogg
3988,104892,Sam Graham
3993,24706,Captain Gerald Anstey
3993,318149,Captain von Endig
3994,71132,Henri de Sartorys
3994,190516,Comte Paul de Valreas
3996,523932,
3997,130986,
3999,803705,Borgen
3999,251622,Franz von Bierman
3999,526234,
3999,526275,Ernst Waller
4000,582452,James Darwin
